00|75.518.289/5908-84|Empresa Versao2 01 LTDA|(48) 94113-6042
00|72.309.781/6665-70|Empresa Versao2 12 LTDA|(13) 95440-3733
01|NFC|12-0001|1151,79
02|1|Item 724|107,49
02|2|Assinatura 600|321,60
02|3|Peça 914|488,69
02|4|Peça 179|24,99
02|5|Serviço 591|209,02
01|CTRC|12-0002|1546,29
02|1|Item 670|227,91
02|2|Pacote 824|187,58
02|3|Item 015|464,67
02|4|Peça 750|303,95
02|5|Licença 536|362,18
01|NFS|12-0003|1639,43
02|1|Componente 787|427,01
02|2|Item 588|274,18
02|3|Serviço 226|10,92
02|4|Serviço 868|200,47
02|5|Licença 284|211,65
02|6|Peça 049|447,17
02|7|Produto 389|68,03
01|NF|12-0004|2369,19
02|1|Item 325|246,68
02|2|Assinatura 847|270,21
02|3|Pacote 817|368,90
02|4|Pacote 352|423,10
02|5|Peça 927|276,08
02|6|Pacote 770|22,75
02|7|Pacote 736|46,78
02|8|Peça 758|460,11
02|9|Peça 127|254,58
01|NFE|12-0005|1056,85
02|1|Peça 999|41,83
02|2|Item 261|412,88
02|3|Pacote 041|98,54
02|4|Assinatura 642|268,10
02|5|Pacote 482|67,98
02|6|Item 764|167,52
01|NFE|12-0006|2339,33
02|1|Assinatura 616|36,13
02|2|Assinatura 220|358,74
02|3|Pacote 934|403,61
02|4|Pacote 025|433,37
02|5|Assinatura 821|249,15
02|6|Licença 258|377,78
02|7|Item 300|308,70
02|8|Produto 017|171,85
01|NFC|12-0007|2088,25
02|1|Componente 608|234,05
02|2|Serviço 909|109,67
02|3|Pacote 381|436,72
02|4|Pacote 740|480,99
02|5|Item 990|491,40
02|6|Assinatura 273|59,76
02|7|Licença 497|275,66
01|NFS|12-0008|1937,94
02|1|Licença 039|33,69
02|2|Item 913|45,77
02|3|Serviço 153|497,07
02|4|Peça 384|327,36
02|5|Peça 425|419,35
02|6|Assinatura 999|281,43
02|7|Licença 311|101,75
02|8|Pacote 248|231,52
01|CTRC|12-0009|1649,37
02|1|Assinatura 733|454,62
02|2|Produto 235|158,25
02|3|Produto 518|263,30
02|4|Peça 110|403,69
02|5|Item 665|229,29
02|6|Serviço 069|140,22
01|NFC|12-0010|995,18
02|1|Item 436|69,84
02|2|Item 718|20,16
02|3|Item 392|358,14
02|4|Pacote 752|179,83
02|5|Item 288|132,50
02|6|Licença 281|136,37
02|7|Produto 272|98,34
00|93.835.541/0995-63|Empresa Versao2 13 LTDA|(89) 91550-4050
01|NFC|13-0001|1696,74
02|1|Licença 354|476,02
02|2|Produto 061|78,99
02|3|Componente 932|300,01
02|4|Produto 101|137,85
02|5|Item 655|248,64
02|6|Produto 796|387,54
02|7|Item 601|67,69
01|NF|13-0002|3016,13
02|1|Pacote 791|192,23
02|2|Produto 584|347,49
02|3|Item 448|175,00
02|4|Item 377|269,08
02|5|Serviço 624|493,22
02|6|Serviço 937|367,89
02|7|Peça 868|495,62
02|8|Item 223|262,56
02|9|Serviço 131|413,04
01|NFE|13-0003|2422,75
02|1|Item 431|342,64
02|2|Produto 081|408,86
02|3|Serviço 307|379,46
02|4|Item 238|142,40
02|5|Item 860|79,78
02|6|Licença 197|262,17
02|7|Item 343|393,55
02|8|Item 363|413,89
01|NF|13-0004|2007,34
02|1|Peça 972|57,64
02|2|Assinatura 017|412,20
02|3|Assinatura 592|245,10
02|4|Peça 523|113,00
02|5|Item 987|420,42
02|6|Serviço 713|157,00
02|7|Peça 011|10,59
02|8|Serviço 658|441,34
02|9|Componente 280|75,98
02|10|Peça 506|74,07
01|CTRC|13-0005|2555,16
02|1|Serviço 094|404,15
02|2|Item 053|35,30
02|3|Pacote 774|387,12
02|4|Peça 477|221,05
02|5|Peça 794|451,43
02|6|Assinatura 517|200,46
02|7|Produto 795|159,28
02|8|Pacote 548|220,73
02|9|Pacote 619|319,06
02|10|Serviço 337|156,58
01|NFE|13-0006|1287,24
02|1|Licença 245|309,52
02|2|Item 956|260,58
02|3|Pacote 286|122,14
02|4|Pacote 549|319,30
02|5|Assinatura 253|275,70
01|NFS|13-0007|2703,03
02|1|Licença 859|375,35
02|2|Peça 860|490,56
02|3|Serviço 301|122,83
02|4|Licença 887|218,50
02|5|Licença 381|152,99
02|6|Assinatura 358|408,89
02|7|Serviço 744|464,30
02|8|Pacote 412|378,30
02|9|Peça 187|91,31
01|NFS|13-0008|2336,46
02|1|Item 670|159,28
02|2|Peça 668|357,15
02|3|Pacote 902|273,04
02|4|Assinatura 045|255,65
02|5|Produto 558|62,82
02|6|Componente 431|372,34
02|7|Peça 977|99,94
02|8|Componente 793|121,54
02|9|Item 569|346,18
02|10|Componente 285|288,52
01|CTRC|13-0009|1573,61
02|1|Peça 480|453,73
02|2|Assinatura 113|446,67
02|3|Pacote 785|227,22
02|4|Item 334|60,53
02|5|Assinatura 526|385,46
01|NFE|13-0010|1542,52
02|1|Assinatura 592|159,96
02|2|Pacote 872|386,17
02|3|Assinatura 256|315,60
02|4|Licença 364|371,82
02|5|Licença 934|308,97
00|41.571.409/9348-52|Empresa Versao2 14 LTDA|(17) 99489-8557
01|NFS|14-0001|2821,24
02|1|Serviço 901|496,90
02|2|Componente 508|134,20
02|3|Serviço 099|283,60
02|4|Peça 434|498,95
02|5|Serviço 604|316,05
02|6|Peça 657|389,54
02|7|Licença 181|48,96
02|8|Componente 668|274,75
02|9|Item 943|378,29
01|NFC|14-0002|2715,46
02|1|Serviço 080|296,94
02|2|Pacote 039|315,87
02|3|Componente 020|284,26
02|4|Serviço 197|263,24
02|5|Peça 492|395,96
02|6|Assinatura 680|191,75
02|7|Item 332|434,08
02|8|Item 209|294,74
02|9|Componente 351|238,62
01|NFC|14-0003|2731,78
02|1|Produto 981|175,66
02|2|Assinatura 774|220,18
02|3|Pacote 238|158,05
02|4|Pacote 544|302,81
02|5|Item 465|450,85
02|6|Assinatura 760|406,06
02|7|Componente 360|55,31
02|8|Assinatura 229|406,46
02|9|Peça 308|252,70
02|10|Assinatura 638|303,70
01|NFE|14-0004|2319,52
02|1|Peça 739|269,26
02|2|Pacote 595|176,30
02|3|Assinatura 341|439,97
02|4|Assinatura 125|80,88
02|5|Componente 398|444,08
02|6|Pacote 849|278,52
02|7|Item 041|77,78
02|8|Serviço 367|127,48
02|9|Peça 805|232,36
02|10|Produto 102|192,89
01|NFS|14-0005|1614,71
02|1|Item 755|473,56
02|2|Peça 499|228,02
02|3|Peça 177|111,96
02|4|Peça 093|358,27
02|5|Assinatura 255|355,51
02|6|Produto 305|87,39
01|NF|14-0006|2289,56
02|1|Produto 898|192,99
02|2|Componente 265|26,50
02|3|Item 882|372,63
02|4|Produto 225|293,28
02|5|Pacote 607|367,15
02|6|Assinatura 984|190,03
02|7|Item 839|250,53
02|8|Item 161|78,44
02|9|Produto 265|19,05
02|10|Serviço 717|498,96
01|NF|14-0007|2242,21
02|1|Produto 533|280,10
02|2|Pacote 346|53,05
02|3|Item 993|490,77
02|4|Item 283|285,17
02|5|Serviço 367|311,50
02|6|Produto 972|403,91
02|7|Licença 961|417,71
01|NFS|14-0008|1292,22
02|1|Pacote 487|56,27
02|2|Produto 132|300,28
02|3|Serviço 318|118,45
02|4|Peça 469|427,73
02|5|Componente 369|272,53
02|6|Assinatura 763|116,96
01|NFE|14-0009|1579,02
02|1|Item 008|219,83
02|2|Licença 671|256,55
02|3|Produto 353|101,20
02|4|Serviço 636|56,34
02|5|Licença 749|430,61
02|6|Pacote 567|459,60
02|7|Licença 762|54,89
01|NFE|14-0010|1383,12
02|1|Assinatura 184|241,25
02|2|Pacote 244|423,17
02|3|Componente 866|140,35
02|4|Licença 260|331,14
02|5|Serviço 410|172,14
02|6|Item 542|75,07
00|83.851.169/9321-26|Empresa Versao2 15 LTDA|(81) 97885-1365
01|NFE|15-0001|1439,62
02|1|Assinatura 151|51,99
02|2|Peça 650|190,20
02|3|Item 816|172,49
02|4|Assinatura 166|176,00
02|5|Pacote 404|63,85
02|6|Pacote 501|358,75
02|7|Assinatura 882|426,34
01|NFC|15-0002|2228,17
02|1|Serviço 707|49,04
02|2|Peça 310|295,04
02|3|Componente 819|416,58
02|4|Peça 970|269,58
02|5|Serviço 354|411,53
02|6|Componente 158|255,31
02|7|Peça 980|79,11
02|8|Pacote 543|428,93
02|9|Item 017|23,05
01|NFE|15-0003|1783,90
02|1|Assinatura 412|105,12
02|2|Pacote 687|385,27
02|3|Pacote 001|428,95
02|4|Peça 563|253,21
02|5|Peça 524|167,71
02|6|Peça 896|443,64
01|NF|15-0004|1850,48
02|1|Pacote 765|64,48
02|2|Assinatura 949|401,42
02|3|Pacote 043|414,17
02|4|Assinatura 403|403,30
02|5|Peça 635|391,90
02|6|Serviço 487|175,21
01|NFC|15-0005|2295,09
02|1|Assinatura 297|361,56
02|2|Item 477|144,24
02|3|Componente 197|199,91
02|4|Componente 195|104,10
02|5|Pacote 464|414,52
02|6|Componente 974|212,65
02|7|Licença 182|78,59
02|8|Serviço 144|494,27
02|9|Pacote 931|285,25
01|NFE|15-0006|2018,05
02|1|Produto 970|380,23
02|2|Pacote 178|205,81
02|3|Assinatura 378|215,50
02|4|Serviço 378|293,92
02|5|Componente 985|28,65
02|6|Pacote 016|150,62
02|7|Pacote 362|368,13
02|8|Produto 527|155,15
02|9|Serviço 284|203,57
02|10|Item 830|16,47
01|CTRC|15-0007|2226,03
02|1|Produto 645|15,24
02|2|Assinatura 508|232,69
02|3|Serviço 006|143,12
02|4|Componente 426|444,16
02|5|Licença 060|210,46
02|6|Assinatura 750|473,51
02|7|Pacote 916|299,55
02|8|Licença 467|407,30
01|NFS|15-0008|2813,27
02|1|Assinatura 162|388,97
02|2|Item 869|341,36
02|3|Serviço 185|417,10
02|4|Peça 450|267,47
02|5|Item 067|447,99
02|6|Item 133|83,15
02|7|Peça 655|103,90
02|8|Componente 653|241,45
02|9|Peça 001|440,92
02|10|Produto 016|80,96
01|CTRC|15-0009|1791,36
02|1|Item 977|40,40
02|2|Produto 467|121,07
02|3|Componente 124|137,16
02|4|Peça 335|426,61
02|5|Produto 579|270,84
02|6|Componente 987|499,15
02|7|Serviço 828|296,13
01|NFC|15-0010|1965,76
02|1|Produto 873|491,22
02|2|Pacote 632|387,13
02|3|Pacote 197|239,40
02|4|Assinatura 803|65,19
02|5|Item 096|355,33
02|6|Licença 212|39,43
02|7|Licença 243|388,06
00|88.905.885/4375-46|Empresa Versao2 16 LTDA|(48) 94292-4212
01|NF|16-0001|1516,78
02|1|Assinatura 044|53,51
02|2|Peça 671|427,58
02|3|Assinatura 951|214,31
02|4|Licença 328|497,77
02|5|Produto 564|323,61
01|NF|16-0002|2653,70
02|1|Item 589|463,41
02|2|Licença 244|148,38
02|3|Item 638|237,48
02|4|Assinatura 940|90,80
02|5|Item 957|411,24
02|6|Licença 761|402,04
02|7|Item 343|329,32
02|8|Peça 047|475,99
02|9|Pacote 551|95,04
01|NFS|16-0003|1955,26
02|1|Item 880|452,17
02|2|Produto 794|373,80
02|3|Peça 597|71,01
02|4|Licença 231|101,95
02|5|Assinatura 824|147,42
02|6|Componente 685|30,78
02|7|Serviço 152|82,36
02|8|Assinatura 792|386,26
02|9|Serviço 809|227,68
02|10|Peça 238|81,83
01|CTRC|16-0004|2180,45
02|1|Produto 159|454,47
02|2|Licença 496|452,13
02|3|Produto 544|236,53
02|4|Peça 608|175,85
02|5|Assinatura 830|202,28
02|6|Pacote 399|407,02
02|7|Item 252|252,17
01|CTRC|16-0005|1923,24
02|1|Produto 753|101,20
02|2|Item 549|113,60
02|3|Serviço 080|474,12
02|4|Item 589|87,37
02|5|Item 193|242,92
02|6|Pacote 225|201,39
02|7|Componente 899|288,84
02|8|Pacote 148|212,50
02|9|Serviço 543|201,30
01|NF|16-0006|1982,15
02|1|Licença 027|20,63
02|2|Assinatura 387|103,04
02|3|Produto 228|495,31
02|4|Assinatura 005|29,35
02|5|Serviço 101|393,64
02|6|Pacote 267|203,80
02|7|Licença 642|207,59
02|8|Licença 622|369,60
02|9|Licença 621|159,19
01|NFC|16-0007|1554,86
02|1|Produto 108|95,04
02|2|Peça 487|331,34
02|3|Assinatura 053|448,12
02|4|Serviço 964|371,77
02|5|Licença 409|113,17
02|6|Componente 316|195,42
01|NFE|16-0008|1741,94
02|1|Peça 949|338,54
02|2|Componente 660|263,91
02|3|Item 332|256,16
02|4|Componente 273|302,29
02|5|Assinatura 863|224,19
02|6|Assinatura 171|356,85
01|CTRC|16-0009|2242,62
02|1|Item 437|414,93
02|2|Serviço 787|454,95
02|3|Peça 861|285,93
02|4|Peça 629|394,47
02|5|Serviço 730|297,58
02|6|Licença 146|141,02
02|7|Licença 555|253,74
01|NFS|16-0010|1104,36
02|1|Produto 422|195,12
02|2|Licença 186|158,22
02|3|Componente 755|499,77
02|4|Produto 024|49,73
02|5|Pacote 217|201,52
00|42.562.989/7020-91|Empresa Versao2 17 LTDA|(73) 93045-0697
01|CTRC|17-0001|2233,21
02|1|Serviço 265|282,78
02|2|Item 041|345,44
02|3|Item 007|170,79
02|4|Produto 862|361,58
02|5|Serviço 925|340,49
02|6|Licença 269|417,19
02|7|Pacote 621|142,60
02|8|Pacote 923|79,28
02|9|Pacote 124|93,06
01|NFE|17-0002|2292,13
02|1|Licença 218|442,28
02|2|Item 474|87,02
02|3|Item 312|160,34
02|4|Componente 933|57,11
02|5|Item 487|116,11
02|6|Peça 780|292,64
02|7|Pacote 832|293,83
02|8|Pacote 620|397,76
02|9|Item 675|445,04
01|NFC|17-0003|2813,26
02|1|Peça 250|453,49
02|2|Peça 040|164,65
02|3|Licença 288|469,73
02|4|Componente 332|107,43
02|5|Assinatura 431|390,16
02|6|Componente 022|100,22
02|7|Serviço 341|408,49
02|8|Assinatura 042|321,26
02|9|Pacote 218|397,83
01|NFS|17-0004|1721,06
02|1|Componente 484|118,66
02|2|Peça 933|40,23
02|3|Serviço 205|170,18
02|4|Assinatura 891|388,15
02|5|Produto 924|330,81
02|6|Peça 536|348,29
02|7|Componente 805|67,70
02|8|Licença 801|149,82
02|9|Item 958|107,22
01|CTRC|17-0005|2073,42
02|1|Componente 298|106,17
02|2|Licença 266|325,49
02|3|Produto 248|374,75
02|4|Componente 154|483,54
02|5|Componente 847|211,73
02|6|Pacote 861|345,45
02|7|Item 311|64,85
02|8|Peça 666|161,44
01|NFC|17-0006|1813,41
02|1|Assinatura 831|319,49
02|2|Produto 873|366,59
02|3|Componente 526|101,07
02|4|Assinatura 774|79,21
02|5|Componente 350|121,04
02|6|Componente 598|361,05
02|7|Peça 203|320,56
02|8|Peça 978|144,40
01|NF|17-0007|2466,41
02|1|Assinatura 051|129,73
02|2|Pacote 845|212,88
02|3|Serviço 825|438,05
02|4|Serviço 326|380,69
02|5|Pacote 934|109,96
02|6|Assinatura 267|270,10
02|7|Pacote 184|220,75
02|8|Item 978|497,47
02|9|Assinatura 881|206,78
01|NF|17-0008|2480,46
02|1|Componente 431|102,14
02|2|Pacote 485|242,09
02|3|Item 922|498,52
02|4|Componente 982|459,10
02|5|Peça 536|57,37
02|6|Item 126|245,05
02|7|Pacote 658|372,49
02|8|Componente 978|198,76
02|9|Componente 927|153,58
02|10|Assinatura 160|151,36
01|NFS|17-0009|2035,27
02|1|Peça 209|326,41
02|2|Peça 180|354,87
02|3|Assinatura 439|476,96
02|4|Pacote 814|410,12
02|5|Produto 088|466,91
01|NFC|17-0010|1389,82
02|1|Produto 940|462,87
02|2|Serviço 136|206,17
02|3|Serviço 110|372,35
02|4|Pacote 851|40,32
02|5|Licença 736|254,77
02|6|Produto 535|15,05
02|7|Serviço 139|38,29
00|53.144.759/8010-35|Empresa Versao2 18 LTDA|(19) 92752-4750
01|NFC|18-0001|2316,70
02|1|Peça 727|496,56
02|2|Item 159|379,33
02|3|Serviço 900|32,61
02|4|Pacote 811|386,43
02|5|Assinatura 810|494,77
02|6|Licença 305|386,74
02|7|Produto 193|118,35
02|8|Licença 624|21,91
01|NF|18-0002|2272,93
02|1|Assinatura 894|307,04
02|2|Serviço 881|328,88
02|3|Item 851|53,71
02|4|Pacote 995|247,87
02|5|Licença 169|388,11
02|6|Licença 513|330,43
02|7|Produto 893|171,77
02|8|Serviço 257|445,12
01|NFC|18-0003|1881,63
02|1|Serviço 977|71,77
02|2|Peça 875|418,98
02|3|Assinatura 012|471,79
02|4|Serviço 986|329,73
02|5|Produto 888|311,11
02|6|Licença 129|13,72
02|7|Assinatura 728|264,53
01|NFS|18-0004|1168,51
02|1|Licença 971|50,49
02|2|Serviço 246|381,19
02|3|Componente 346|108,07
02|4|Serviço 166|173,53
02|5|Produto 638|174,67
02|6|Item 524|280,56
01|NF|18-0005|1808,41
02|1|Peça 549|421,37
02|2|Serviço 159|121,40
02|3|Peça 212|413,72
02|4|Item 700|124,95
02|5|Peça 815|268,32
02|6|Licença 238|458,65
01|NFE|18-0006|1592,69
02|1|Peça 995|210,10
02|2|Peça 923|156,06
02|3|Item 494|191,72
02|4|Peça 893|237,00
02|5|Licença 354|88,08
02|6|Assinatura 854|352,83
02|7|Pacote 822|52,46
02|8|Licença 252|304,44
01|NF|18-0007|2226,89
02|1|Produto 877|350,41
02|2|Item 813|494,07
02|3|Pacote 435|350,30
02|4|Assinatura 407|237,81
02|5|Componente 347|258,18
02|6|Serviço 579|89,81
02|7|Produto 000|446,31
01|NFE|18-0008|2089,78
02|1|Item 987|294,03
02|2|Componente 843|427,54
02|3|Produto 477|425,69
02|4|Produto 922|364,16
02|5|Licença 365|87,65
02|6|Assinatura 458|106,80
02|7|Peça 983|383,91
01|NFE|18-0009|2473,43
02|1|Assinatura 647|166,92
02|2|Assinatura 850|49,76
02|3|Peça 024|164,35
02|4|Peça 153|399,55
02|5|Item 562|428,00
02|6|Componente 911|410,22
02|7|Componente 389|286,62
02|8|Produto 578|84,26
02|9|Pacote 738|466,61
02|10|Item 600|17,14
01|CTRC|18-0010|3540,99
02|1|Peça 118|497,28
02|2|Licença 008|214,40
02|3|Peça 578|140,30
02|4|Serviço 252|413,71
02|5|Componente 431|347,74
02|6|Pacote 029|313,98
02|7|Pacote 866|410,46
02|8|Assinatura 636|331,58
02|9|Item 484|418,48
02|10|Licença 387|453,06
00|27.950.730/8282-89|Empresa Versao2 19 LTDA|(18) 99598-1791
01|NF|19-0001|2030,87
02|1|Item 776|332,58
02|2|Assinatura 977|125,60
02|3|Produto 188|174,99
02|4|Assinatura 925|451,85
02|5|Serviço 801|459,37
02|6|Pacote 475|381,04
02|7|Assinatura 316|105,44
01|NF|19-0002|1561,46
02|1|Licença 850|191,93
02|2|Serviço 372|473,08
02|3|Assinatura 961|432,23
02|4|Produto 352|51,29
02|5|Componente 344|71,05
02|6|Pacote 970|341,88
01|NF|19-0003|1612,44
02|1|Produto 297|400,11
02|2|Produto 928|418,68
02|3|Assinatura 713|122,95
02|4|Produto 795|259,65
02|5|Item 920|298,47
02|6|Licença 359|112,58
01|NFC|19-0004|1149,74
02|1|Serviço 965|402,63
02|2|Peça 525|44,02
02|3|Licença 610|120,67
02|4|Serviço 635|292,14
02|5|Licença 685|41,49
02|6|Peça 411|248,79
01|CTRC|19-0005|1774,10
02|1|Pacote 578|111,78
02|2|Licença 924|86,17
02|3|Licença 263|195,81
02|4|Licença 851|173,17
02|5|Serviço 834|146,34
02|6|Item 298|281,12
02|7|Componente 337|342,69
02|8|Serviço 829|188,59
02|9|Produto 770|248,43
01|CTRC|19-0006|2423,88
02|1|Produto 940|420,19
02|2|Licença 608|342,44
02|3|Licença 968|91,61
02|4|Pacote 519|152,83
02|5|Pacote 592|150,66
02|6|Licença 528|470,99
02|7|Serviço 498|409,37
02|8|Peça 917|323,83
02|9|Componente 027|61,96
01|NFE|19-0007|2902,02
02|1|Licença 823|444,59
02|2|Componente 590|299,55
02|3|Serviço 110|210,54
02|4|Licença 720|416,38
02|5|Assinatura 382|408,52
02|6|Assinatura 878|340,87
02|7|Produto 933|103,95
02|8|Assinatura 638|248,88
02|9|Licença 153|428,74
01|CTRC|19-0008|1947,66
02|1|Pacote 645|441,23
02|2|Pacote 544|166,97
02|3|Assinatura 098|245,18
02|4|Licença 222|43,51
02|5|Assinatura 514|402,78
02|6|Serviço 277|407,06
02|7|Componente 625|213,57
02|8|Serviço 370|27,36
01|NFC|19-0009|1730,61
02|1|Assinatura 861|172,13
02|2|Licença 409|240,55
02|3|Assinatura 509|65,62
02|4|Serviço 142|17,23
02|5|Item 059|47,51
02|6|Assinatura 774|360,66
02|7|Assinatura 218|127,59
02|8|Pacote 760|225,75
02|9|Componente 400|473,57
01|CTRC|19-0010|1600,89
02|1|Assinatura 302|266,18
02|2|Pacote 529|377,48
02|3|Produto 403|384,24
02|4|Componente 891|139,91
02|5|Assinatura 117|433,08
00|84.047.800/8398-80|Empresa Versao2 20 LTDA|(38) 95186-1546
01|NFC|20-0001|1769,00
02|1|Licença 233|67,77
02|2|Componente 310|198,24
02|3|Peça 097|313,43
02|4|Componente 311|12,11
02|5|Licença 786|459,31
02|6|Assinatura 438|380,91
02|7|Produto 028|77,11
02|8|Produto 921|260,12
01|NFS|20-0002|1381,41
02|1|Pacote 997|53,35
02|2|Componente 573|194,89
02|3|Serviço 295|143,86
02|4|Assinatura 791|199,07
02|5|Pacote 665|330,95
02|6|Pacote 063|149,13
02|7|Pacote 203|88,47
02|8|Item 770|125,50
02|9|Item 932|96,19
01|NFS|20-0003|1438,41
02|1|Produto 252|270,49
02|2|Peça 154|338,79
02|3|Produto 861|379,92
02|4|Licença 909|82,61
02|5|Item 445|170,22
02|6|Item 146|196,38
01|NFE|20-0004|1391,27
02|1|Componente 049|250,37
02|2|Peça 793|50,66
02|3|Assinatura 065|16,26
02|4|Componente 461|485,96
02|5|Pacote 862|493,15
02|6|Assinatura 377|94,87
01|NF|20-0005|2425,39
02|1|Componente 025|406,07
02|2|Serviço 441|41,13
02|3|Item 736|494,52
02|4|Item 045|455,11
02|5|Assinatura 150|470,38
02|6|Assinatura 456|74,91
02|7|Peça 997|483,27
01|CTRC|20-0006|2242,01
02|1|Pacote 151|325,40
02|2|Item 117|164,00
02|3|Assinatura 347|389,06
02|4|Serviço 569|457,69
02|5|Produto 424|423,17
02|6|Assinatura 717|74,02
02|7|Pacote 322|267,01
02|8|Item 362|13,64
02|9|Produto 713|128,02
01|NFS|20-0007|2083,75
02|1|Serviço 219|410,51
02|2|Item 475|273,69
02|3|Peça 407|191,66
02|4|Produto 836|42,87
02|5|Componente 328|275,15
02|6|Item 472|319,98
02|7|Item 989|172,78
02|8|Componente 213|397,11
01|NF|20-0008|2441,33
02|1|Item 505|122,48
02|2|Peça 873|128,44
02|3|Peça 005|386,22
02|4|Item 366|497,51
02|5|Item 521|100,64
02|6|Licença 560|123,07
02|7|Assinatura 543|183,21
02|8|Assinatura 460|218,44
02|9|Licença 991|362,30
02|10|Peça 063|319,02
01|NFS|20-0009|1653,01
02|1|Componente 352|66,58
02|2|Produto 083|158,39
02|3|Peça 292|299,96
02|4|Assinatura 412|50,40
02|5|Item 731|116,34
02|6|Pacote 836|474,79
02|7|Licença 404|486,55
01|CTRC|20-0010|2581,44
02|1|Peça 524|201,06
02|2|Pacote 988|202,26
02|3|Serviço 437|218,83
02|4|Serviço 227|323,23
02|5|Componente 077|340,42
02|6|Item 423|89,09
02|7|Pacote 393|390,85
02|8|Serviço 621|381,54
02|9|Item 407|434,16
09|00|20
09|01|200
09|02|1512
99|1732
